,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20
Topic_0,word,recommendation,time,stress,topic,tip,learn,sleep,strategy,anxiety,way,work,help,holiday,self,family,change,cope,manage,communication,loss
Topic_0,value,0.019890057,0.019842213,0.018001176,0.0152532905,0.0147171905,0.014298155,0.01387905,0.013054127,0.012504979,0.010109175,0.008822739,0.008382506,0.008382256,0.008382173,0.008381928,0.008020379,0.0070085335,0.007008501,0.007008213,0.0070081856
Topic_1,word,time,need,feel,deal,trauma,get,other,way,mindfulness,helpful,life,question,good,think,tip,make,cope,information,day,die
Topic_1,value,0.020152424,0.012900947,0.011704668,0.010371622,0.010371512,0.01036902,0.008875666,0.0084997555,0.007842247,0.007841973,0.0078419065,0.007838199,0.007832457,0.00783127,0.006297763,0.0061990763,0.0053127105,0.005312496,0.0053123985,0.0053123897
Topic_2,word,topic,go,think,make,life,time,change,home,give,work,improve,well,strategy,good,want,interesting,stop,connect,loss,acceptance
Topic_2,value,0.02599899,0.011163729,0.010415441,0.010124281,0.009973242,0.00957229,0.009294785,0.008017586,0.0074791103,0.0074625965,0.007421118,0.007414371,0.0071331463,0.006543524,0.006458269,0.006062251,0.0060621295,0.006062108,0.006062016,0.006061991
Topic_3,word,stress,feel,find,hear,time,cope,loss,session,help,attend,work,get,long,know,social,good,way,life,management,sleep
Topic_3,value,0.028241977,0.012976555,0.012976553,0.012976436,0.011202522,0.010432421,0.010432041,0.010431803,0.010431747,0.010431729,0.010431275,0.010431035,0.008442302,0.007887678,0.00788761,0.007887575,0.007887537,0.007887272,0.007887266,0.007887196
Topic_4,word,work,life,time,session,anxiety,help,cope,think,topic,feel,want,look,need,care,way,balance,know,sleep,tip,self
Topic_4,value,0.017990341,0.012041331,0.00983145,0.008873673,0.008873533,0.00868241,0.008637803,0.0084628975,0.0084081385,0.008107709,0.008038673,0.0077951583,0.007419332,0.007419094,0.006448511,0.005964662,0.00596453,0.0059643807,0.0059643467,0.0059643355
Topic_5,word,grief,time,session,self,stress,cope,work,want,volunteer,always,love,family,loss,need,make,overall,anxiety,reflection,get,way
Topic_5,value,0.020458814,0.014841483,0.012881278,0.012880311,0.012394322,0.010355379,0.008860931,0.0087684775,0.008213189,0.007837718,0.007832269,0.007829921,0.007829902,0.007829882,0.00782972,0.007829618,0.007829524,0.007829509,0.0073135155,0.0072456812
Topic_6,word,topic,learn,improve,help,care,other,time,habit,relevant,way,navigate,stress,add,emotion,family,think,new,find,interested,relationship
Topic_6,value,0.024579518,0.01623767,0.014846499,0.014846209,0.012412316,0.011415253,0.011172034,0.009978605,0.009978157,0.008718554,0.007545324,0.0075452104,0.0075449683,0.00754493,0.0075447517,0.0075447187,0.00754464,0.0075445254,0.007544476,0.0075444146
Topic_7,word,time,people,work,grief,topic,make,feel,helpful,session,talk,penn,information,personal,lot,worry,stress,way,get,share,long
Topic_7,value,0.022765778,0.022704516,0.017094484,0.014292715,0.01155926,0.011495536,0.009230051,0.008751927,0.008723893,0.008687883,0.008687738,0.006642136,0.0065862183,0.0059372378,0.005890455,0.005889155,0.0058885016,0.00588842,0.0058854134,0.0058854115
Topic_8,word,topic,help,time,work,learn,try,deal,need,relationship,self,interest,always,anxiety,stress,tip,ptsd,mindfulness,want,advice,provide
Topic_8,value,0.015310001,0.014597898,0.014441788,0.013255076,0.012545325,0.010086078,0.010086055,0.0100858575,0.010085732,0.010085595,0.010084178,0.009196957,0.007626248,0.007626123,0.007626091,0.0076259742,0.007625665,0.0076254155,0.007235555,0.0069329557
Topic_9,word,session,time,work,talk,keep,recommendation,make,discuss,information,helpful,long,resource,anxiety,attend,different,return,apply,look,understand,night
Topic_9,value,0.03539781,0.014257304,0.011965456,0.011965207,0.009619248,0.009618944,0.009618027,0.009578098,0.0095742475,0.009565183,0.0072736773,0.0072732856,0.0072731646,0.007273018,0.0072729937,0.007272988,0.0072728577,0.007272844,0.00727281,0.0072727585
