topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"recommendation, time, stress, topic, tip, learn, sleep, strategy, anxiety, way, work, help, holiday, self, family, change, cope, manage, communication, loss",,,,
Topic_1,"time, need, feel, deal, trauma, get, other, way, mindfulness, helpful, life, question, good, think, tip, make, cope, information, day, die",,,,
Topic_2,"topic, go, think, make, life, time, change, home, give, work, improve, well, strategy, good, want, interesting, stop, connect, loss, acceptance",,,,
Topic_3,"stress, feel, find, hear, time, cope, loss, session, help, attend, work, get, long, know, social, good, way, life, management, sleep",,,,
Topic_4,"work, life, time, session, anxiety, help, cope, think, topic, feel, want, look, need, care, way, balance, know, sleep, tip, self",,,,
Topic_5,"grief, time, session, self, stress, cope, work, want, volunteer, always, love, family, loss, need, make, overall, anxiety, reflection, get, way",,,,
Topic_6,"topic, learn, improve, help, care, other, time, habit, relevant, way, navigate, stress, add, emotion, family, think, new, find, interested, relationship",,,,
Topic_7,"time, people, work, grief, topic, make, feel, helpful, session, talk, penn, information, personal, lot, worry, stress, way, get, share, long",,,,
Topic_8,"topic, help, time, work, learn, try, deal, need, relationship, self, interest, always, anxiety, stress, tip, ptsd, mindfulness, want, advice, provide",,,,
Topic_9,"session, time, work, talk, keep, recommendation, make, discuss, information, helpful, long, resource, anxiety, attend, different, return, apply, look, understand, night",,,,
