year,month,mild,moderate,severe
2020,4,53.0,63.0,14.0
2020,5,51.0,51.0,14.0
2020,6,54.0,72.0,13.0
2020,7,53.0,66.0,14.0
2020,8,55.0,63.0,10.0
2020,9,34.0,34.0,7.0
2020,10,61.0,59.0,12.0
2020,11,47.0,53.0,8.0
2020,12,37.0,32.0,7.0
2021,1,43.0,44.0,12.0
2021,2,36.0,24.0,5.0
2021,3,45.0,37.0,10.0
2021,4,25.0,32.0,3.0
2021,5,18.0,30.0,6.0
2021,6,29.0,27.0,7.0
2021,7,32.0,25.0,3.0
2021,8,24.0,24.0,7.0
2021,9,35.0,30.0,4.0
2021,10,33.0,31.0,12.0
2021,11,36.0,30.0,6.0
2021,12,32.0,29.0,1.0
2022,1,91.0,94.0,10.0
2022,2,57.0,72.0,8.0
2022,3,36.0,47.0,10.0
2022,4,32.0,25.0,1.0
2022,5,40.0,24.0,5.0
2022,6,22.0,23.0,4.0
2022,7,22.0,25.0,8.0
2022,8,17.0,8.0,0.0
